review_id,input_text,highlighted_span,disposition,confidence,reason_category,natural_context_ok,suspected_ambiguity,reviewer_notes
V3R-8cc7190b34bb,Sync failed for USD queue — retry after backup,USD,,,,,,
V3R-8cecc2337bfa,Do not mutate protected token EMAIL-user.syn@example.test-R005 inside the posting draft case 5 (synthetic email token),EMAIL-user.syn@example.test-R005,,,,,,
V3R-8da2b87c087f,check file once before posting — context unclear,file,,,,,,
V3R-8dae913cc8f8,Please update the shift field in the English settings panel,shift,,,,,,
V3R-8dd4e25789ba,alignment challenge 14: keep surface [kharcha baaki] intact (nbsp),kharcha baaki,,,,,,
V3R-8e1ec5456d1f,branch ledger: template entry ra kehi baaki milaaune,kehi,,,,,,
V3R-8e25a2b1e2a7,Do not mutate protected token SERIAL-SN-V3-0001-R049 inside the posting draft case 49 (synthetic serial),SERIAL-SN-V3-0001-R049,,,,,,
V3R-8e832f47c10f,Create a draft charge and leave it unposted,charge,,,,,,
V3R-8e8fedfffeee,Please update the permission field in the English settings panel,permission,,,,,,
V3R-8eb96ebb4269,Enter MRP code in the tax panel without Devanagari rewrite (acr case 47),MRP,,,,,,
V3R-8ec626e8e063,hijo ko order entry check gara,order,,,,,,
V3R-8ecb9549d3d0,malik ji aamdani report pathaunuhos,aamdani,,,,,,
V3R-8f33c146fb2c,Accounting staff asked about po settings in Ask MokXya,po,,,,,,
V3R-8f4072b49f02,Please update the miss field in the English settings panel,miss,,,,,,
V3R-8f42e06730c2,Customer Sunita Magar paid by bank transfer yesterday (name case 32),Sunita,,,,,,
V3R-8f575a83d47d,Do not transliterate the word sac in this English sentence,sac,,,,,,
V3R-8f6560d05fc7,check class once before posting — context unclear,class,,,,,,
V3R-8fac19d8fa72,review shared surface permit in mixed shop note before close,permit,,,,,,
V3R-9027b292e65f,Please update the card field in the English settings panel,card,,,,,,
V3R-905c8d2f7c94,Do not mutate protected token URL-https://example.test/eval/v3-R026 inside the posting draft case 26 (synthetic url token),URL-https://example.test/eval/v3-R026,,,,,,
V3R-9134b44e1acd,Please update the duty field in the English settings panel,duty,,,,,,
V3R-913f04baa102,Filter by quantity then print the ledger summary,quantity,,,,,,
V3R-9147a699aafd,Filter by monthly then print the ledger summary,monthly,,,,,,
V3R-916f26b354ee,check sign once before posting — context unclear,sign,,,,,,
V3R-919b17eba0f3,review shared surface receipt in mixed shop note before close,receipt,,,,,,
V3R-925f6c9add15,Please update the tag field in the English settings panel,tag,,,,,,
V3R-928a9d2707e2,hijo ko aaunu entry check gara,aaunu,,,,,,
V3R-92a6aaea3901,branch ledger: adjustment entry ra pachi baaki milaaune,pachi,,,,,,
V3R-92bddc4a19bf,please dherai update gardinu,dherai,,,,,,
V3R-931d2d0e6140,Please update the result field in the English settings panel,result,,,,,,
V3R-932afb5505ea,check value once before posting — context unclear,value,,,,,,
V3R-935103475b5c,review shared surface upc in mixed shop note before close,upc,,,,,,
V3R-93739b7c6c6c,check lock once before posting — context unclear,lock,,,,,,
V3R-938f1e62b165,malik ji cha report pathaunuhos,cha,,,,,,
V3R-94a12f95787e,yo byaj last week ko ho,byaj,,,,,,
V3R-94e792a92663,check credit once before posting — context unclear,credit,,,,,,
V3R-9529cf4d88f4,Keep vendor as Latin identity for the ERP toolbar label,vendor,,,,,,
V3R-955d0ce53a30,check permission once before posting — context unclear,permission,,,,,,
V3R-959e3c638c28,The void status must remain pending until confirm,void,,,,,,
V3R-95a043fa4c1f,Please update the stamp field in the English settings panel,stamp,,,,,,
V3R-95eeaf929bf6,alignment challenge 41: keep surface [ñepali] intact (combining tilde),ñepali,,,,,,
V3R-96be4fb111a2,review shared surface license in mixed shop note before close,license,,,,,,
V3R-96e7ba369239,Do not mutate protected token URL-https://example.test/eval/v3-R016 inside the posting draft case 16 (synthetic url token),URL-https://example.test/eval/v3-R016,,,,,,
V3R-9709f3818f18,Customer Sagar Gautam paid by bank transfer yesterday (name case 49),Sagar,,,,,,
V3R-975d8a7270f7,branch ledger: allowance entry ra hisab baaki milaaune,allowance,,,,,,
V3R-977258fcd332,Please update the alert field in the English settings panel,alert,,,,,,
V3R-97a41f840790,Please open the total module and export the report,total,,,,,,
V3R-98606d2b5d18,bholi samma samma baaki clear garnu,samma,,,,,,
V3R-988ee91e5370,Please update the passbook field in the English settings panel,passbook,,,,,,
V3R-990da0aa4fe4,maybe seal means English UI or Romanized Nepali — reviewer must decide (case 27),seal,,,,,,
V3R-99191d693032,statement ra paisa mismatch bhayo,statement,,,,,,
V3R-9992db3f877f,Enter FY code in the tax panel without Devanagari rewrite (acr case 7),FY,,,,,,
V3R-99b3b5f6ca51,Do not mutate protected token PAN-A1B2C3D4E5-R040 inside the posting draft case 40 (synthetic taxpayer id token),PAN-A1B2C3D4E5-R040,,,,,,
V3R-99fecb543b4c,aaja box ko hisab milaaidim ra baaki clear gara,box,,,,,,
V3R-9a0c637d4040,Please update the select field in the English settings panel,select,,,,,,
V3R-9a391564c555,aaja schedule ko hisab milaaidim ra baaki clear gara,schedule,,,,,,
V3R-9a92c59d1a41,Filter by gateway then print the ledger summary,gateway,,,,,,
V3R-9a9c17b75fda,nafa ra paisa mismatch bhayo,nafa,,,,,,
V3R-9abd28cec8a8,Customer Ajay Basnet paid by bank transfer yesterday (name case 20),Ajay,,,,,,
V3R-9ade06ba1436,check select once before posting — context unclear,select,,,,,,
V3R-9af80411209d,malik ji gayo report pathaunuhos,gayo,,,,,,
V3R-9b05d46cd8c3,aaja draft ko hisab milaaidim ra baaki clear gara,draft,,,,,,
V3R-9b7308794303,please chaina update gardinu,chaina,,,,,,
V3R-9b73871f899f,aaja rate ko hisab milaaidim ra baaki clear gara,rate,,,,,,
V3R-9baa20a04c27,branch ledger: void entry ra timro baaki milaaune,timro,,,,,,
V3R-9bc14a8209f6,Sync failed for credit queue — retry after backup,credit,,,,,,
V3R-9c271840b4b8,yo huncha last week ko ho,huncha,,,,,,
V3R-9cb1f9af0f4c,yo ho last week ko ho,ho,,,,,,
V3R-9cc4f0df3ee9,review shared surface refno in mixed shop note before close,refno,,,,,,
V3R-9ccb0ba78630,hijo ko timro entry check gara,timro,,,,,,
V3R-9dfcda052c5d,maybe post means English UI or Romanized Nepali — reviewer must decide (case 10),post,,,,,,
V3R-9e29f867126b,Do not mutate protected token INV-SYN-9001-R073 inside the posting draft case 73 (synthetic invoice token),INV-SYN-9001-R073,,,,,,
V3R-9ea3f88aaf1d,grahak le invoice bare sodheko cha,invoice,,,,,,
V3R-9ef5b1285072,aaja choice ko hisab milaaidim ra baaki clear gara,choice,,,,,,
V3R-9f493925bce9,Customer Manish Regmi paid by bank transfer yesterday (name case 43),Manish,,,,,,
V3R-9f51c6f883e8,maybe mark means English UI or Romanized Nepali — reviewer must decide (case 25),mark,,,,,,
V3R-9f9c8c565796,Sync failed for amortization queue — retry after backup,amortization,,,,,,
V3R-9fb868aed8f8,Create a draft debitnote and leave it unposted,debitnote,,,,,,
V3R-9fd569ddd03b,Do not mutate protected token IMEI-356938035643809-R088 inside the posting draft case 88 (synthetic device id),IMEI-356938035643809-R088,,,,,,
V3R-a0437f6e786f,aaja path ko hisab milaaidim ra baaki clear gara,path,,,,,,
V3R-a05bafebc37d,branch ledger: headquarters entry ra thyo baaki milaaune,headquarters,,,,,,
V3R-a089b648c097,branch ledger: debit entry ra raati baaki milaaune,raati,,,,,,
V3R-a0c496c5a5fc,Create a draft challan and leave it unposted,challan,,,,,,
V3R-a0dc93050215,aaja limit ko hisab milaaidim ra baaki clear gara,limit,,,,,,
V3R-a0df62db1fd8,alignment challenge 43: keep surface [a​aja] intact (zero-width space),a​aja,,,,,,
V3R-a0ee92948289,thorai ra paisa mismatch bhayo,thorai,,,,,,
V3R-a1116c31a267,aaja file ko hisab milaaidim ra baaki clear gara,file,,,,,,
V3R-a126e4cf5b8a,Enter FY code in the tax panel without Devanagari rewrite (acr case 37),FY,,,,,,
V3R-a171367cd4f4,aaja value ko hisab milaaidim ra baaki clear gara,value,,,,,,
V3R-a1b946aa6e56,Keep tcs as Latin identity for the ERP toolbar label,tcs,,,,,,
V3R-a1da705952a0,bholi samma dinchu baaki clear garnu,dinchu,,,,,,
V3R-a2390bb02e77,Filter by password then print the ledger summary,password,,,,,,
V3R-a24b69927637,Do not mutate protected token MOB-9800000001-R041 inside the posting draft case 41 (synthetic mobile token),MOB-9800000001-R041,,,,,,
V3R-a264c75b21fe,Do not mutate protected token PAN-A1B2C3D4E5-R050 inside the posting draft case 50 (synthetic taxpayer id token),PAN-A1B2C3D4E5-R050,,,,,,
V3R-a26fe7a0af7c,grahak le chha bare sodheko cha,chha,,,,,,
V3R-a2b2522d997a,check charge once before posting — context unclear,charge,,,,,,
V3R-a314c1e7e9e2,aaja duty ko hisab milaaidim ra baaki clear gara,duty,,,,,,
V3R-a336082a79b9,maybe entry means English UI or Romanized Nepali — reviewer must decide (case 33),entry,,,,,,
V3R-a36027e89a20,Enter HSN code in the tax panel without Devanagari rewrite (acr case 4),HSN,,,,,,
V3R-a37c059545fc,Accounting staff asked about adjustment settings in Ask MokXya,adjustment,,,,,,
V3R-a37ef3eb4807,Please update the sign field in the English settings panel,sign,,,,,,
V3R-a3a6ddaba525,aaja root ko hisab milaaidim ra baaki clear gara,root,,,,,,
V3R-a4b0d38ec551,Do not mutate protected token IMEI-356938035643809-R048 inside the posting draft case 48 (synthetic device id),IMEI-356938035643809-R048,,,,,,
V3R-a4e3ea353b47,check rate once before posting — context unclear,rate,,,,,,
V3R-a509b9dc0272,hijo ko sanga entry check gara,sanga,,,,,,
V3R-a56b92a5ff21,maybe list means English UI or Romanized Nepali — reviewer must decide (case 24),list,,,,,,
V3R-a5bc4958ceac,branch ledger: expense entry ra khata baaki milaaune,khata,,,,,,
V3R-a6317048dcca,Do not mutate protected token EMAIL-user.syn@example.test-R045 inside the posting draft case 45 (synthetic email token),EMAIL-user.syn@example.test-R045,,,,,,
V3R-a64b1f66ccd3,alignment challenge 16: keep surface [paisa…] intact (ellipsis),paisa…,,,,,,
V3R-a650c5a75040,check copy once before posting — context unclear,copy,,,,,,
V3R-a668e5541716,aaja label ko hisab milaaidim ra baaki clear gara,label,,,,,,
V3R-a6905992b29a,aaja column ko hisab milaaidim ra baaki clear gara,column,,,,,,
V3R-a6f63f251d98,Please update the bond field in the English settings panel,bond,,,,,,
V3R-a6f750c91599,malik ji yasari report pathaunuhos,yasari,,,,,,
V3R-a7024d59bf0b,chha ra paisa mismatch bhayo,chha,,,,,,
V3R-a716a1174c4d,dukan ra paisa mismatch bhayo,dukan,,,,,,
V3R-a71be3800bad,Enter Q2 code in the tax panel without Devanagari rewrite (acr case 39),Q2,,,,,,
V3R-a73a8f6d39a0,Enter SO code in the tax panel without Devanagari rewrite (acr case 14),SO,,,,,,
V3R-a74debc6c3bc,alignment challenge 38: keep surface [½] intact (vulgar fraction),½,,,,,,
V3R-a7902ad895fa,Please update the filter field in the English settings panel,filter,,,,,,
V3R-a7d2b3e66230,check rule once before posting — context unclear,rule,,,,,,
V3R-a7ef9a6df049,aaja warning ko hisab milaaidim ra baaki clear gara,warning,,,,,,
V3R-a83eb3782049,check condition once before posting — context unclear,condition,,,,,,
V3R-a8732b43a22a,aaja malik hisab milaaidim please,malik,,,,,,
V3R-a8aea8c53adf,please ke update gardinu,ke,,,,,,
V3R-a8deadebfa9a,yo bechyo last week ko ho,bechyo,,,,,,
V3R-a8e299c19341,review shared surface voucher in mixed shop note before close,voucher,,,,,,
V3R-a8e85d028a2e,Do not mutate protected token TXN-SYN-778899-R004 inside the posting draft case 4 (synthetic transaction token),TXN-SYN-778899-R004,,,,,,
V3R-a927b4a97717,check cell once before posting — context unclear,cell,,,,,,
V3R-a94baac705f6,Do not mutate protected token URL-https://example.test/eval/v3-R076 inside the posting draft case 76 (synthetic url token),URL-https://example.test/eval/v3-R076,,,,,,
V3R-aa3f6915bb94,Do not mutate protected token ACC-SYN-100200-R092 inside the posting draft case 92 (synthetic account token),ACC-SYN-100200-R092,,,,,,
V3R-aab3d5e6adfa,hijo ko baaki entry check gara,baaki,,,,,,
V3R-aae2823a53bb,branch ledger: daily entry ra lai baaki milaaune,lai,,,,,,
V3R-ab5e960558fa,aaja bujhe hisab milaaidim please,bujhe,,,,,,
V3R-ab9058c6f17b,check calendar once before posting — context unclear,calendar,,,,,,
V3R-ab9d405ee29a,Do not mutate protected token TXN-SYN-778899-R024 inside the posting draft case 24 (synthetic transaction token),TXN-SYN-778899-R024,,,,,,
V3R-abe66f438d26,branch ledger: VAT entry ra aamdani baaki milaaune,VAT,,,,,,
V3R-abfddc27371b,Please update the row field in the English settings panel,row,,,,,,
V3R-ac1878f2f4d3,aaja shift ko hisab milaaidim ra baaki clear gara,shift,,,,,,
V3R-ac7747dbe041,aaja series ko hisab milaaidim ra baaki clear gara,series,,,,,,
V3R-ac8339c3d6e6,aaja lock ko hisab milaaidim ra baaki clear gara,lock,,,,,,
V3R-ac8899314131,Please update the upload field in the English settings panel,upload,,,,,,
V3R-ad607d843790,check margin once before posting — context unclear,margin,,,,,,
V3R-ad7b93a20eb3,malik ji pugcha report pathaunuhos,pugcha,,,,,,
V3R-ad9825bd9022,aaja graph ko hisab milaaidim ra baaki clear gara,graph,,,,,,
V3R-ad99a62fec08,check page once before posting — context unclear,page,,,,,,
V3R-ae2b22a0ae99,Do not mutate protected token PAN-A1B2C3D4E5-R020 inside the posting draft case 20 (synthetic taxpayer id token),PAN-A1B2C3D4E5-R020,,,,,,
V3R-ae3632f5710e,aaja menu ko hisab milaaidim ra baaki clear gara,menu,,,,,,
V3R-ae55ba2d4a3b,Filter by module then print the ledger summary,module,,,,,,
V3R-ae6b31204eaa,branch ledger: income entry ra lejhar baaki milaaune,income,,,,,,
V3R-ae84b2daa189,grahak le gara bare sodheko cha,gara,,,,,,
V3R-ae883cb8832b,branch ledger: PAN entry ra nafa baaki milaaune,nafa,,,,,,
V3R-ae90b4226d2b,Please update the right field in the English settings panel,right,,,,,,
V3R-ae9e205d02f9,Customer Rajesh Karki paid by bank transfer yesterday (name case 31),Rajesh,,,,,,
V3R-aeb4e284fd97,Do not mutate protected token ACC-SYN-100200-R082 inside the posting draft case 82 (synthetic account token),ACC-SYN-100200-R082,,,,,,
V3R-aebfbe859433,Please update the type field in the English settings panel,type,,,,,,
V3R-aec20ed3ddbe,Please update the hit field in the English settings panel,hit,,,,,,
V3R-aefabe6afe5f,The cheque status must remain pending until confirm,cheque,,,,,,
V3R-af0e3d72fc0b,branch ledger: credit entry ra hapta baaki milaaune,credit,,,,,,
V3R-af2f1fe41962,aaja return ko hisab milaaidim ra baaki clear gara,return,,,,,,
V3R-af96f085fcf6,grahak le bihana bare sodheko cha,bihana,,,,,,
V3R-afae40d082f5,Please update the line field in the English settings panel,line,,,,,,
V3R-afd100afbf4e,aaja link ko hisab milaaidim ra baaki clear gara,link,,,,,,
V3R-afda6b7e7a9b,review shared surface imei in mixed shop note before close,imei,,,,,,
V3R-afdb57d8b540,Please update the stock field in the English settings panel,stock,,,,,,
V3R-b12f6c7e6729,branch ledger: approve entry ra kinabhane baaki milaaune,kinabhane,,,,,,
V3R-b200047b89ba,Please update the clause field in the English settings panel,clause,,,,,,
V3R-b2112d370a3a,alignment challenge 27: keep surface [NPR−100] intact (minus sign),NPR−100,,,,,,
V3R-b2766313ea4d,check token once before posting — context unclear,token,,,,,,
V3R-b2a261eb6d59,hijo ko ani entry check gara,ani,,,,,,
V3R-b2ed836a1c7f,branch ledger: carryforward entry ra samma baaki milaaune,carryforward,,,,,,
V3R-b359668dad10,Sync failed for employee queue — retry after backup,employee,,,,,,
V3R-b3cc265fbf1b,aaja account ko hisab milaaidim ra baaki clear gara,account,,,,,,
V3R-b3d93f7b475d,Do not mutate protected token EMAIL-user.syn@example.test-R085 inside the posting draft case 85 (synthetic email token),EMAIL-user.syn@example.test-R085,,,,,,
V3R-b3e9e8967412,review shared surface challan in mixed shop note before close,challan,,,,,,
V3R-b3ecadecbd7a,Enter EBITDA code in the tax panel without Devanagari rewrite (acr case 22),EBITDA,,,,,,
V3R-b3f3c1afd46e,hijo ko kharcha entry check gara,kharcha,,,,,,
V3R-b42ba8a2d7a7,Do not mutate protected token IMEI-356938035643809-R058 inside the posting draft case 58 (synthetic device id),IMEI-356938035643809-R058,,,,,,
V3R-b447be932876,check series once before posting — context unclear,series,,,,,,
V3R-b46352e09997,check mark once before posting — context unclear,mark,,,,,,
V3R-b4791f50aef5,check warranty once before posting — context unclear,warranty,,,,,,
V3R-b4875b4885cf,aaja seal ko hisab milaaidim ra baaki clear gara,seal,,,,,,
V3R-b49366dfaa74,Please update the scan field in the English settings panel,scan,,,,,,
V3R-b4b57f0e6763,branch ledger: amortization entry ra aile baaki milaaune,amortization,,,,,,
V3R-b4c0fdba6f0a,Please update the access field in the English settings panel,access,,,,,,
V3R-b51d6413c1ad,check stock once before posting — context unclear,stock,,,,,,
V3R-b52c6999c858,aaja post ko hisab milaaidim ra baaki clear gara,post,,,,,,
V3R-b5999d69a57b,Do not mutate protected token PAN-A1B2C3D4E5-R070 inside the posting draft case 70 (synthetic taxpayer id token),PAN-A1B2C3D4E5-R070,,,,,,
V3R-b627249e9b26,branch ledger: accrual entry ra kasto baaki milaaune,kasto,,,,,,
V3R-b69dcba39aae,yo chhaina last week ko ho,chhaina,,,,,,
V3R-b6d56432bc2c,Please update the policy field in the English settings panel,policy,,,,,,
V3R-b6f944906a20,aaja ramro hisab milaaidim please,ramro,,,,,,
V3R-b77d2c82bb0f,Customer Ram Bahadur paid by bank transfer yesterday (name case 25),Ram,,,,,,
V3R-b79d0f815da0,Customer Nabin Poudel paid by bank transfer yesterday (name case 37),Nabin,,,,,,
V3R-b800bb7713ac,Customer Nabin Poudel paid by bank transfer yesterday (name case 12),Nabin,,,,,,
V3R-b84ef4c9f0b6,maybe form means English UI or Romanized Nepali — reviewer must decide (case 7),form,,,,,,
V3R-b85496d8cabf,aaja catalogue ko hisab milaaidim ra baaki clear gara,catalogue,,,,,,
V3R-b85654bba153,Please open the freight module and export the report,freight,,,,,,
V3R-b87f72d6f261,Enter LIFO code in the tax panel without Devanagari rewrite (acr case 49),LIFO,,,,,,
V3R-b8d87a2e6ee7,grahak le naramro bare sodheko cha,naramro,,,,,,
V3R-b8f152a325c0,Do not mutate protected token IMEI-356938035643809-R028 inside the posting draft case 28 (synthetic device id),IMEI-356938035643809-R028,,,,,,
V3R-b9069fbc6b31,aaja credit ko hisab milaaidim ra baaki clear gara,credit,,,,,,
V3R-b92797a7d0e1,Do not mutate protected token ACC-SYN-100200-R042 inside the posting draft case 42 (synthetic account token),ACC-SYN-100200-R042,,,,,,
V3R-b92a10adb3c6,check agenda once before posting — context unclear,agenda,,,,,,
V3R-b93e01ebba1d,Please open the configuration module and export the report,configuration,,,,,,
V3R-b953bc5c1611,review shared surface batchno in mixed shop note before close,batchno,,,,,,
V3R-b9811ba03303,aaja print ko hisab milaaidim ra baaki clear gara,print,,,,,,
V3R-b9ed47be49ca,branch ledger: employee entry ra chaina baaki milaaune,employee,,,,,,
V3R-ba0040492377,branch ledger: vendor entry ra cha baaki milaaune,vendor,,,,,,
V3R-ba3c75eeae5f,review shared surface invoice in mixed shop note before close,invoice,,,,,,
V3R-ba570ed9747e,maybe file means English UI or Romanized Nepali — reviewer must decide (case 9),file,,,,,,
V3R-ba64266f390e,aaja stamp ko hisab milaaidim ra baaki clear gara,stamp,,,,,,
V3R-ba9890dd50e1,alignment challenge 20: keep surface [café] intact (combining acute),café,,,,,,
V3R-bab4ff06c586,alignment challenge 40: keep surface [café] intact (combining acute),café,,,,,,
V3R-bae580ef8ba8,Please update the file field in the English settings panel,file,,,,,,
V3R-bb1f6f9403d8,Enter SKU code in the tax panel without Devanagari rewrite (acr case 12),SKU,,,,,,
V3R-bb5a8ad5bd31,aaja cap ko hisab milaaidim ra baaki clear gara,cap,,,,,,
V3R-bbee48ce1a2f,bholi samma kahile baaki clear garnu,kahile,,,,,,
V3R-bcc5d6a66b97,grahak le suneeko bare sodheko cha,suneeko,,,,,,
V3R-bd05b96a4367,Sync failed for weekly queue — retry after backup,weekly,,,,,,
V3R-bd58015c20f0,check node once before posting — context unclear,node,,,,,,
V3R-bda1f6b3289e,Please update the rule field in the English settings panel,rule,,,,,,
V3R-bdf6981c8f82,aaja code ko hisab milaaidim ra baaki clear gara,code,,,,,,
V3R-be192d098b04,please parcha update gardinu,parcha,,,,,,
V3R-be424e462f92,review shared surface vat in mixed shop note before close,vat,,,,,,
V3R-be65b2b7be59,Accounting staff asked about backup settings in Ask MokXya,backup,,,,,,
V3R-be9f88785c94,aaja jaanu hisab milaaidim please,jaanu,,,,,,
V3R-becbdf25ab9a,please aile update gardinu,aile,,,,,,
V3R-bee5f729362e,bholi samma rupiya baaki clear garnu,rupiya,,,,,,
V3R-c10a8a5d2a33,Enter SKU code in the tax panel without Devanagari rewrite (acr case 42),SKU,,,,,,
V3R-c136f1736a00,pathau ra paisa mismatch bhayo,pathau,,,,,,
V3R-c148d9104255,Sync failed for rate queue — retry after backup,rate,,,,,,
V3R-c1b5831ca175,hijo ko thaha entry check gara,thaha,,,,,,
V3R-c1bc42f22e79,Please update the peak field in the English settings panel,peak,,,,,,
V3R-c1bd726e2174,aaja minute ko hisab milaaidim ra baaki clear gara,minute,,,,,,
V3R-c22592fe9e88,malik ji tapai report pathaunuhos,tapai,,,,,,
V3R-c227f76cca76,aaja bholi hisab milaaidim please,bholi,,,,,,
V3R-c242c6c097da,Please update the balance field in the English settings panel,balance,,,,,,
V3R-c2b22324511c,Please open the proforma module and export the report,proforma,,,,,,
V3R-c2ba8f9523da,check cash once before posting — context unclear,cash,,,,,,
V3R-c306237c84c6,yo pathau last week ko ho,pathau,,,,,,
V3R-c322f0546f63,Please update the term field in the English settings panel,term,,,,,,
V3R-c3589127abfc,check cap once before posting — context unclear,cap,,,,,,
V3R-c36595b1fb66,branch ledger: monthly entry ra hajurko baaki milaaune,hajurko,,,,,,
V3R-c3c1745cf959,Do not mutate protected token INV-SYN-9001-R013 inside the posting draft case 13 (synthetic invoice token),INV-SYN-9001-R013,,,,,,
V3R-c40fc764f398,bholi samma thyo baaki clear garnu,thyo,,,,,,
V3R-c47d994656bd,maybe slip means English UI or Romanized Nepali — reviewer must decide (case 29),slip,,,,,,
V3R-c53f7606f232,aaja barsa hisab milaaidim please,barsa,,,,,,
V3R-c5560b8ecb7b,alignment challenge 21: keep surface [ñepali] intact (combining tilde),ñepali,,,,,,
V3R-c5b9fdc75890,aaja search ko hisab milaaidim ra baaki clear gara,search,,,,,,
V3R-c60587d7408a,Keep provision as Latin identity for the ERP toolbar label,provision,,,,,,
V3R-c6b84e39014d,branch ledger: freight entry ra bola baaki milaaune,freight,,,,,,
V3R-c6e6886b3b7a,please kiraya update gardinu,kiraya,,,,,,
V3R-c70ce8ef4bed,branch ledger: statement entry ra barsa baaki milaaune,statement,,,,,,
V3R-c70ef613f29e,alignment challenge 29: keep surface [㎡] intact (square metre symbol),㎡,,,,,,
V3R-c719d8b5d418,review shared surface tin in mixed shop note before close,tin,,,,,,
V3R-c73585ee5a9e,malik ji lejhar report pathaunuhos,lejhar,,,,,,
V3R-c7bad2767282,Please open the fee module and export the report,fee,,,,,,
V3R-c7f5f7e63889,Please update the rate field in the English settings panel,rate,,,,,,
V3R-c890e23bda2c,maybe gate means English UI or Romanized Nepali — reviewer must decide (case 37),gate,,,,,,
V3R-c8a207264872,aaja memo ko hisab milaaidim ra baaki clear gara,memo,,,,,,
V3R-c8c194b370ef,check term once before posting — context unclear,term,,,,,,
V3R-c8e299100912,Customer Ram Bahadur paid by bank transfer yesterday (name case 0),Ram,,,,,,
V3R-c8e49d7813e3,review shared surface contract in mixed shop note before close,contract,,,,,,
V3R-c933c169b52b,alignment challenge 30: keep surface [café] intact (combining acute),café,,,,,,
V3R-c95237071b93,aaja sign ko hisab milaaidim ra baaki clear gara,sign,,,,,,
V3R-c9bcfa78d67c,Do not mutate protected token TXN-SYN-778899-R074 inside the posting draft case 74 (synthetic transaction token),TXN-SYN-778899-R074,,,,,,
V3R-ca558ac5e462,Do not mutate protected token PAN-A1B2C3D4E5-R010 inside the posting draft case 10 (synthetic taxpayer id token),PAN-A1B2C3D4E5-R010,,,,,,
V3R-ca71dfb71016,Please open the ewaybill module and export the report,ewaybill,,,,,,
V3R-ca77fa0452b1,check path once before posting — context unclear,path,,,,,,
V3R-cac976f1010e,hijo ko lekheko entry check gara,lekheko,,,,,,
V3R-cae928e9c6bb,Accounting staff asked about packaging settings in Ask MokXya,packaging,,,,,,
V3R-cb045c4a1a88,check post once before posting — context unclear,post,,,,,,
V3R-cba49bfc9830,malik ji chaina report pathaunuhos,chaina,,,,,,
V3R-cbc72baece92,aaja status ko hisab milaaidim ra baaki clear gara,status,,,,,,
V3R-cbef83c93c26,Create a draft discount and leave it unposted,discount,,,,,,
V3R-cc84a63fbd19,Enter ROI code in the tax panel without Devanagari rewrite (acr case 21),ROI,,,,,,
V3R-cc9c9b9cc48d,Please update the lock field in the English settings panel,lock,,,,,,
V3R-ccd2e1bd1753,malik ji receipt report pathaunuhos,receipt,,,,,,
V3R-cce47ef24925,Accounting staff asked about ledger settings in Ask MokXya,ledger,,,,,,
V3R-cd140ad6012f,check link once before posting — context unclear,link,,,,,,
V3R-cd1eb9e46895,aba ra paisa mismatch bhayo,aba,,,,,,
V3R-cd4627706e97,Accounting staff asked about inventory settings in Ask MokXya,inventory,,,,,,
V3R-cd8979148c4f,bholi samma staff baaki clear garnu,staff,,,,,,
V3R-cdbb3f53e248,The closing status must remain pending until confirm,closing,,,,,,
V3R-cdfc4ecb6d17,aaja state ko hisab milaaidim ra baaki clear gara,state,,,,,,
V3R-ce3d29001809,check base once before posting — context unclear,base,,,,,,
V3R-ce834c54ea77,branch ledger: username entry ra dherai baaki milaaune,username,,,,,,
V3R-cf11197b4459,Create a draft balance and leave it unposted,balance,,,,,,
V3R-cf59f1844174,Enter TCS code in the tax panel without Devanagari rewrite (acr case 33),TCS,,,,,,
V3R-d0280d240dba,yo baaki last week ko ho,baaki,,,,,,
V3R-d031b54d544c,Please update the charge field in the English settings panel,charge,,,,,,
V3R-d032c1346f2b,dekhau ra paisa mismatch bhayo,dekhau,,,,,,
V3R-d081c46fc381,Do not mutate protected token UUID-00000000-0000-4000-8000-000000000001-R077 inside the posting draft case 77 (synthetic uuid),UUID-00000000-0000-4000-8000-000000000001-R077,,,,,,
V3R-d0dc60f645d1,hijo ko gara entry check gara,gara,,,,,,
V3R-d151e78f395f,Please update the pass field in the English settings panel,pass,,,,,,
V3R-d192dd9fa936,check scan once before posting — context unclear,scan,,,,,,
V3R-d1ae0dfc4479,Do not mutate protected token URL-https://example.test/eval/v3-R086 inside the posting draft case 86 (synthetic url token),URL-https://example.test/eval/v3-R086,,,,,,
V3R-d1b6228f287d,aaja type ko hisab milaaidim ra baaki clear gara,type,,,,,,
V3R-d1dff9c00c8d,branch ledger: profit entry ra jabaj baaki milaaune,jabaj,,,,,,
V3R-d247322f5830,alignment challenge 35: keep surface [“hisab”] intact (smart quotes),“hisab”,,,,,,
V3R-d2836107c30b,Accounting staff asked about confirm settings in Ask MokXya,confirm,,,,,,
V3R-d3142998dc7d,branch ledger: journal entry ra beluka baaki milaaune,journal,,,,,,
V3R-d3932629eb9a,review shared surface pan in mixed shop note before close,pan,,,,,,
V3R-d3b76859e3ff,chhaina ra paisa mismatch bhayo,chhaina,,,,,,
V3R-d3fa65a43b42,Please update the order field in the English settings panel,order,,,,,,
V3R-d40e32510e24,aaja bata hisab milaaidim please,bata,,,,,,
V3R-d4225dcc3472,Keep income as Latin identity for the ERP toolbar label,income,,,,,,
